names,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Experiment,isolate,create_date,sample_name,block,
SRR11917230,AMPLICON,594,8905426,SAMN15058045,6341221,SRX8463636,221cpHF2017,2020-06-03T12:09:00Z,1320,2,
SRR11917231,AMPLICON,587,4744555,SAMN15058044,2705519,SRX8463635,420ouBO2017,2020-06-03T12:09:00Z,1320,8,
SRR11917232,AMPLICON,590,18299,SAMN15058043,92760,SRX8463634,433gkXF2017,2020-06-03T12:09:00Z,1320,7,
SRR11917233,AMPLICON,488,1507770,SAMN15058042,905981,SRX8463633,688owEX2017,2020-06-03T12:09:00Z,1320,6,
SRR11917234,AMPLICON,549,6579740,SAMN15058041,3654689,SRX8463632,246xnQL2017,2020-06-03T12:09:00Z,1320,5,
SRR11917235,AMPLICON,585,11432481,SAMN15058040,6275004,SRX8463631,363ewXY2017,2020-06-03T12:09:00Z,1320,4,
SRR11917236,AMPLICON,596,22669,SAMN15058039,96721,SRX8463630,95qyRL2017,2020-06-03T12:09:00Z,1320,3,
SRR11917237,AMPLICON,426,1707,SAMN15057868,83335,SRX8463629,406jlMT2017,2020-06-03T12:09:00Z,1117,1,
SRR11917238,AMPLICON,589,19375084,SAMN15058038,10492347,SRX8463628,840koHH2017,2020-06-03T12:09:00Z,1320,2,
SRR11917239,AMPLICON,589,38612551,SAMN15057862,21281963,SRX8463627,732bxFM2017,2020-06-03T12:09:00Z,1111,7,
SRR11917240,AMPLICON,593,20648518,SAMN15057978,14370117,SRX8463626,317ekGQ2017,2020-06-03T12:09:00Z,1231,2,
SRR11917241,AMPLICON,584,3426512,SAMN15057977,1903889,SRX8463625,929fyQD2017,2020-06-03T12:09:00Z,1231,8,
SRR11917242,AMPLICON,587,42293234,SAMN15057976,22326963,SRX8463624,173pdPX2017,2020-06-03T12:10:00Z,1231,7,
SRR11917243,AMPLICON,549,1968875,SAMN15057975,1121888,SRX8463623,716iuFF2017,2020-06-03T12:09:00Z,1231,5,
SRR11917244,AMPLICON,585,7338543,SAMN15057974,3917935,SRX8463622,326rdOZ2017,2020-06-03T12:09:00Z,1231,4,
SRR11917245,AMPLICON,578,5787016,SAMN15057973,3169202,SRX8463621,148xxBN2017,2020-06-03T12:09:00Z,1231,3,
